ΠΥΓϋ	°ΛΧΦΖΐ·Φ	ΞεΈρΖΐ·Φ	Χά·Φ
ΑυΟζΌΞ	62	78.1	140.1
ΑυΦρΌΞ	89	83.4	172.4
ΑυΓήΌΞ	90	84.8	174.8
ΑυΗΌΞ	21	88.6	109.6
ΑυΌΞΕ¦	61	86.8	147.8
Αυ·ηΌΞ	63	85.2	148.2
ΑυΌΞ·ª	60	79.4	139.4
ΑυΤ΄ΌΞ	63	74.8	137.8
ΑυΉΜΌΞ	90.5	89.2	179.7
ΑυΌΞÒ«	96	75.0	171.0
ΑυΌΞΑ®	90	77.2	167.2
ΑυΌΞάώ	63	74.8	137.8
ΑυΌΞ·Ά	62	83.2	145.2
ΑυΞϊΌΞ	62	84.8	146.8
ΑυΌΞΈ»	62	83.2	145.2
ΑυΎύΌΞ	89.5	77.5	167.0
ΑυΌΞ·½	63	85.5	148.5
ΑυΌΞ·Ό	89	86.8	175.8
ΑυΌΞ·»	70.5	80.4	150.9
ΑυΌΞάη	90	83.2	173.2
ΑυΐψΌΞ	96.5	82.3	178.8
ΑυΖΣΌΞ	89	86.0	175.0
ΑυΛΏΌΞ	62	84.8	146.8
ΑυδΘΌΞ	62	84.8	146.8
ΑυΘσΌΞ	61	86.0	147.0
Αυή¨ΌΞ	90.5	94.1	184.6
ΑυΎόΌΞ	91	85.2	176.2
ΑυΌΞδΪ	63	74.8	137.8
ΑυΟώΌΞ	96	86.0	182.0
ΑυΌΞΟζ	62	77.2	139.2
ΑυΌΞΧζ	61	86.8	147.8
ΑυΎ§ΌΞ	97	84.8	181.8
ΑυΌΞΑ¤	61	75.0	136.0
ΑυΌΞΣ±	88	83.2	171.2
ΑυΕ¨ΌΞ	61.5	82.3	143.8
ΑυάυΌΞ	90	84.8	174.8
ΑυΌΞΐΪ	73	78.0	151.0
ΑυΌΞΔΎ	91	85.5	176.5
Αυ½ϊΌΞ	96	92.9	188.9
Αυε«ΌΞ	61	82.2	143.2
ΑυΌφΌΞ	91	84.8	175.8
Αυ±υΌΞ	62.5	94.1	156.6
Αυ½ΰΌΞ	61	86.0	147.0
ΑυΌΞΧΝ	62	83.2	145.2
ΑυΌΞΧΜ	63	74.8	137.8
Αυ²ΙΌΞ	96.5	77.5	174.0
ΑυΉ¦ΌΞ	91	67.7	158.7
ΑυΐΚΌΞ	95	75.7	170.7
ΑυΑψΌΞ	91	85.2	176.2
ΑυΌΞΚυ	88	76.6	164.6
Αυ»ΤΌΞ	63	73.5	136.5
ΑυΌΞΧΫ	63	74.8	137.8
Αυ΄ΏΌΞ	61	92.9	153.9
Αυ±ΎΌΞ	91	67.7	158.7
ΑυΌΞΧΣ	62	86.0	148.0
ΑυΞªΌΞ	72	84.8	156.8
ΑυΧΜΌΞ	63	74.8	137.8
ΑυΛ§ΌΞ	63	85.2	148.2
ΑυΌΞ·ο	63	74.8	137.8
ΑυΌΞΧ­	91	78.0	169.0
Αυ΄ΎΌΞ	62	84.8	146.8
ΑυηζΌΞ	89	92.9	181.9
ΑυέΏΌΞ	91	74.8	165.8
ΑυΌΞεΆ	60.5	77.3	137.8
ΑυΌΞε­	61	75.0	136.0
ΑυΏΒΌΞ	91	85.2	176.2
ΑυΗΎΌΞ	91	84.8	175.8
ΑυΌΞε©	60.5	88.8	149.3
ΑυΤΜΌΞ	90	86.4	176.4
ΑυΛΨΌΞ	61	92.9	153.9
Αυ²ρΌΞ	91	85.2	176.2
ΑυΌΞΉβ	95	81.2	176.2
ΑυΌΞΌΡ	88.5	83.0	171.5
ΑυΡ΅ΌΞ	63	84.8	147.8
ΑυΨ©ΌΞ	61	83.4	144.4
Αυ±όΌΞ	62.5	89.2	151.7
ΑυΙςΌΞ	62.5	89.2	151.7
ΑυΠ½ΌΞ	91	84.8	175.8
ΑυΌΞΧ³	60.5	80.4	140.9
ΑυΙΠΌΞ	62.5	89.2	151.7
ΑυΖαΌΞ	63	73.5	136.5
Αυ³ΏΌΞ	60	75.7	135.7
Αυ±¦ΌΞ	96	82.2	178.2
ΑυτήΌΞ	71	83.4	154.4
ΑυάηΌΞ	90	84.8	174.8
ΑυηχΌΞ	90	78.1	168.1
Αυΐ΄ΌΞ	97.5	89.2	186.7
ΑυΏΖΌΞ	91	85.2	176.2
ΑυΌΞΥώ	95.5	83.0	178.5
ΑυΙάΌΞ	60	75.7	135.7
ΑυΣάΌΞ	90	78.1	168.1
ΑυΌΞ·«	60	81.2	141.2
Αυ±λΌΞ	60	75.7	135.7
ΑυΘΩΌΞ	91	74.8	165.8
Αυ¶­ΌΞ	98	73.5	171.5
ΑυΌΞ³¬	62	83.2	145.2
Αυ±ψΌΞ	61.5	77.5	139.0
ΑυΌΞ³Σ	61	86.8	147.8
ΑυΛηΌΞ	62	78.1	140.1
ΑυΌΞ³Π	60.5	83.0	143.5
Αυα°ΌΞ	72	84.8	156.8
Αυ³ρΌΞ	63	74.8	137.8
ΑυΌΞΖτ	88	76.6	164.6
Αυτ£ΌΞ	90.5	94.1	184.6
Αυ½£ΌΞ	63	73.5	136.5
Αυ­ZΌΞ	21	88.6	109.6
ΑυΌΞΖπ	89	86.8	175.8
ΑυΐΫΌΞ	95	75.7	170.7
ΑυΌΞΨ©	60	81.2	141.2
Αυή¬ΌΞ	90.5	94.1	184.6
ΑυΌΞΑΨ	60	83.2	143.2
ΑυΊλΌΞ	63	67.7	130.7
ΑυΌΞ³Η	71	86.8	157.8
ΑυΌΞΑά	62	83.2	145.2
ΑυΌΞΖλ	63	74.8	137.8
ΑυΌΞΖε	90	83.2	173.2
ΑυΌΞΖζ	88.5	83.0	171.5
ΑυΌΞ³Θ	88	83.2	171.2
ΑυΌΞ³Ο	63	74.8	137.8
ΑυΌΞΖα	63	78.0	141.0
ΑυΌΞΑΦ	88.5	83.0	171.5
ΑυΡ¤ΌΞ	62	84.8	146.8
ΑυδΐΌΞ	62	84.8	146.8
ΑυΈεΌΞ	91	73.5	164.5
ΑυΌΞφª	63	78.0	141.0
ΑυΏ¬ΌΞ	90	78.1	168.1
ΑυΌΞΙύ	63	85.5	148.5
ΑυΌΞΖΥ	62	83.2	145.2
ΑυΌΞΖΦ	60	76.6	136.6
ΑυΌΞΖΧ	61	75.0	136.0
ΑυγγΌΞ	62	86.4	148.4
ΑυΌΞ³ώ	90	77.2	167.2
ΑυΌΞΖΣ	88	83.2	171.2
ΑυΧΣΌΞ	62	92.1	154.1
ΑυΌΞΑψ	89	81.8	170.8
ΑυΌΞΖΞ	90	77.2	167.2
ΑυΌΞΖΟ	91	78.0	169.0
ΑυΔώΌΞ	98	74.8	172.8
ΑυΌΞ³δ	70	81.2	151.2
ΑυΑβΌΞ	91	74.8	165.8
ΑυΡσΌΞ	61	92.9	153.9
ΑυΒεΌΞ	61	92.9	153.9
ΑυΌΞΖ½	63	74.3	137.3
ΑυΖπΌΞ	89	92.9	181.9
ΑυΌΞΝΑ	72	86.0	158.0
ΑυΌΞΖΊ	70.5	83.0	153.5
ΑυΌΞΖ»	90	78.7	168.7
Αυ²©ΌΞ	62	84.8	146.8
ΑυθεΌΞ	90	78.1	168.1
ΑυΦ®ΌΞ	98	78.8	176.8
ΑυΣΆΌΞ	88	75.7	163.7
ΑυΟΘΌΞ	61	83.4	144.4
ΑυΌΞΖ―	63	78.0	141.0
Αυ³©ΌΞ	98	74.8	172.8
ΑυΌΞΖª	91	78.0	169.0
ΑυΑΆΌΞ	98	67.7	165.7
ΑυΊγΌΞ	61	92.9	153.9
ΑυσΓΌΞ	90.5	89.2	179.7
ΑυΒΜΌΞ	98	74.8	172.8
ΑυΑΊΌΞ	95	75.7	170.7
ΑυέΥΌΞ	91	74.8	165.8
ΑυΌΞΑ¬	98	74.8	172.8
ΑυΌΞΗΏ	88	76.6	164.6
ΑυΑ¤ΌΞ	61	82.2	143.2
ΑυΌΞΌΞ	91	74.8	165.8
ΑυδΨΌΞ	62	78.1	140.1
ΑυΌΞΑΆ	98	74.3	172.3
ΑυΌΞ³Ώ	60	76.6	136.6
ΑυΌΞµΗ	97	83.2	180.2
ΑυΌΞ³½	70.5	80.4	150.9
ΑυΞ³ΌΞ	73	73.5	146.5
ΑυΌΞΑΉ	96	86.8	182.8
ΑυΌΞΦ­	60	81.2	141.2
Αυθ¤ΌΞ	63	74.8	137.8
ΑυΌΞΘε	60	83.2	143.2
ΑυΌΞζθ	62	78.7	140.7
ΑυΥάΌΞ	96	92.9	188.9
ΑυέοΌΞ	89	86.0	175.0
ΑυΧΫΌΞ	63	74.8	137.8
ΑυΣρΌΞ	91	67.7	158.7
ΑυΌΞ³©	98	74.8	172.8
ΑυΌΞζη	62	78.7	140.7
ΑυΊηΌΞ	91	85.2	176.2
ΑυΌΞΌα	88	76.6	164.6
Αυ΄«ΌΞ	97	78.1	175.1
ΑυΌΞΣρ	91	74.3	165.3
ΑυΘΊΌΞ	90	78.1	168.1
ΑυΌΞκΙ	95	76.6	171.6
ΑυΎΫΌΞ	63	74.8	137.8
ΑυΌΞΣώ	70	79.4	149.4
ΑυκΐΌΞ	72.5	89.2	161.7
ΑυΌΞΦΑ	95	81.2	176.2
ΑυΓχΌΞ	62.5	89.2	151.7
ΑυΚΆΌΞ	62	84.8	146.8
ΑυΌΞκΛ	61	86.8	147.8
ΑυΌΞΗ	21	81.0	102.0
ΑυΌΞΣλ	73	74.8	147.8
ΑυΌΞΣκ	60.5	83.0	143.5
ΑυΊκΌΞ	61.5	77.5	139.0
ΑυΌΞΟΘ	60	81.2	141.2
ΑυΐΪΌΞ	73	73.5	146.5
ΑυΌΞΣξ	70	81.2	151.2
ΑυΖτΌΞ	88	75.7	163.7
ΑυΌΞΣΡ	73	85.5	158.5
ΑυΌΞΣΠ	70	81.2	151.2
ΑυΌΞµΒ	98	78.0	176.0
ΑυΛΙΌΞ	90.5	94.1	184.6
ΑυΡτΌΞ	71.5	82.3	153.8
ΑυΦμΌΞ	89	83.4	172.4
ΑυΌΞΣο	91	74.8	165.8
ΑυΖζΌΞ	90.5	89.2	179.7
ΑυΌΞµΘ	90	83.2	173.2
ΑυΐΦΌΞ	98	73.5	171.5
ΑυΣΎΌΞ	63	85.2	148.2
ΑυΑ¦ΌΞ	97	93.5	190.5
ΑυηΗΌΞ	61	86.0	147.0
Αυ·ΖΌΞ	91	74.8	165.8
ΑυΏ£ΌΞ	60	75.7	135.7
ΑυΌΞΦέ	60	81.2	141.2
ΑυΌΞΣΝ	61	81.8	142.8
ΑυΌΞΣ³	96	81.8	177.8
ΑυΊβΌΞ	71	86.0	157.0
ΑυΌΞΣ°	73	78.0	151.0
ΑυΐβΌΞ	90	84.8	174.8
ΑυΣªΌΞ	89.5	82.3	171.8
ΑυΤΓΌΞ	60	75.7	135.7
ΑυΝ³ΌΞ	90	84.8	174.8
ΑυΌΞΈρ	89	86.8	175.8
ΑυΌΞΣΎ	61	81.8	142.8
ΑυΌΞΣ½	70.5	83.0	153.5
ΑυΌΞκΕ	96	81.8	177.8
ΑυΌΞσΓ	88.5	83.0	171.5
ΑυΌΞΣΆ	88	76.6	164.6
ΑυΌΞΓΰ	63	74.8	137.8
ΑυΌΞΣ§	72	87.5	159.5
ΑυΝ¤ΌΞ	98	85.2	183.2
ΑυΗ«ΌΞ	89.5	82.3	171.8
ΑυΌΞα°	72	83.2	155.2
ΑυΝ­ΌΞ	63	74.8	137.8
ΑυΠΠΌΞ	61	83.4	144.4
ΑυΤΟΌΞ	73	84.8	157.8
ΑυΌνΌΞ	98	85.2	183.2
Αυ·ΙΌΞ	63	85.2	148.2
ΑυΌΞσπ	91	78.0	169.0
Αυ½υΌΞ	61	86.0	147.0
ΑυΒ«ΌΞ	90	86.4	176.4
ΑυΌΞΚψ	60.5	80.4	140.9
ΑυÒιΌΞ	89	82.2	171.2
Αυ³ΙΌΞ	61.5	77.5	139.0
ΑυÒέΌΞ	73	73.5	146.5
ΑυΣοΌΞ	91	74.8	165.8
ΑυΌΪΌΞ	91	73.5	164.5
ΑυΖΧΌΞ	61	82.2	143.2
ΑυΟςΌΞ	61	83.4	144.4
ΑυµΘΌΞ	90	84.8	174.8
ΑυΈΜΌΞ	91	85.2	176.2
Αυ½άΌΞ	90	84.8	174.8
ΑυΌΞΤª	91	85.5	176.5
ΑυΦΠΌΞ	98	78.8	176.8
ΑυΊΜΌΞ	63	67.7	130.7
ΑυΝτΌΞ	62.5	89.2	151.7
ΑυΘπΌΞ	63	74.8	137.8
ΑυΈΩΌΞ	91	74.8	165.8
ΑυΎ΄ΌΞ	90	78.1	168.1
ΑυΌΞΤ£	62	77.2	139.2
ΑυÒΆΌΞ	90	84.8	174.8
ΑυΌΞ»α	62	77.2	139.2
ΑυγεΌΞ	62.5	89.2	151.7
ΑυΌΞέΣ	88	83.2	171.2
ΑυΗ¬ΌΞ	88	75.7	163.7
ΑυΌΞµΨ	70	81.2	151.2
ΑυΥΓΌΞ	98	74.8	172.8
ΑυΌΞΠ½	89	86.7	175.7
ΑυΌΞΤΎ	70	79.4	149.4
ΑυΌΞΤ½	72	83.2	155.2
ΑυΌΞέΔ	91	74.8	165.8
ΑυΌΞΣά	90	77.2	167.2
ΑυΌΞΤ¶	70.5	77.3	147.8
ΑυΌΞΤ΄	63	74.8	137.8
ΑυΌΞΤµ	73	78.0	151.0
ΑυΙ½ΌΞ	72	92.1	164.1
ΑυΉβΌΞ	96	83.4	179.4
ΑυΥύΌΞ	63	67.7	130.7
ΑυΧΝΌΞ	62	84.8	146.8
ΑυΌΞ³η	60	76.6	136.6
ΑυΑάΌΞ	62	84.8	146.8
ΑυΙ―ΌΞ	90	78.1	168.1
ΑυΟΠΌΞ	62	84.8	146.8
ΑυΎ°ΌΞ	90	84.8	174.8
ΑυΌΞθ¤	63	74.8	137.8
ΑυΣλΌΞ	73	74.8	147.8
ΑυÒΰΌΞ	71	83.4	154.4
ΑυΌΞέο	88	83.2	171.2
ΑυΌΞΣΐ	63	74.3	137.3
ΑυΠΒΌΞ	62	78.1	140.1
ΑυΌΞέθ	88	83.2	171.2
ΑυΌΞΓχ	60.5	83.0	143.5
ΑυΌΜΌΞ	89	82.2	171.2
ΑυΌΞέΰ	91	78.0	169.0
ΑυΜνΌΞ	62	84.8	146.8
ΑυΌΞκ»	95.5	83.0	178.5
ΑυΏΰΌΞ	88	75.7	163.7
Αυ²΄ΌΞ	63	85.2	148.2
ΑυΣ½ΌΞ	72.5	89.2	161.7
ΑυΣΡΌΞ	73	78.8	151.8
ΑυΠΑΌΞ	61.5	77.5	139.0
ΑυΥρΌΞ	95	75.7	170.7
ΑυΌΞΑΊ	95	76.6	171.6
ΑυΌΞΤη	60	81.2	141.2
ΑυÒΖΌΞ	70	75.7	145.7
ΑυΌΞΤε	62	78.7	140.7
ΑυΌΞΓϋ	60	81.2	141.2
ΑυΌΞάρ	88.5	88.8	177.3
ΑυΌΞΑ¦	97	88.5	185.5
ΑυΌΞΤσ	60.5	77.3	137.8
ΑυΌΞΤφ	73	78.0	151.0
Αυ±σΌΞ	60	75.7	135.7
ΑυσπΌΞ	91	73.5	164.5
ΑυÒΪΌΞ	73	73.5	146.5
ΑυΙξΌΞ	62	84.8	146.8
ΑυΌΞΤΟ	71	86.7	157.7
ΑυΌΞΤΜ	90	78.7	168.7
ΑυΓΙΌΞ	61	86.0	147.0
ΑυΌΞΤΒ	91	85.5	176.5
ΑυΌΞΤΓ	60	76.6	136.6
ΑυΫτΌΞ	71	92.9	163.9
ΑυΌΞάυ	90	83.2	173.2
ΑυΌΞΤΖ	62	83.2	145.2
ΑυΛψΌΞ	62.5	94.1	156.6
ΑυΤªΌΞ	91	78.8	169.8
Αυη²ΌΞ	91	74.8	165.8
ΑυΊ²ΌΞ	61	86.0	147.0
ΑυΉ®ΌΞ	91	73.5	164.5
ΑυΌΞΑβ	91	74.8	165.8
ΑυΌΞέ¥	88	83.2	171.2
ΑυΤσΌΞ	61.5	82.3	143.8
Αυ°½ΌΞ	70	75.7	145.7
ΑυΑΉΌΞ	96	92.9	188.9
ΑυΐλΌΞ	98	84.8	182.8
ΑυΘΨΌΞ	89	86.0	175.0
Αυ¶δΌΞ	89	83.4	172.4
Αυ·ÒΌΞ	89	92.9	181.9
ΑυΌΞΟ£	60.5	80.4	140.9
ΑυΌΞΟ΅	90	83.2	173.2
ΑυΌΞΑΌ	95.5	80.4	175.9
ΑυΌΞΠε	60.5	88.8	149.3
ΑυΌΞΟª	63	74.8	137.8
ΑυΌΞΌΪ	91	78.0	169.0
ΑυΌΞΕ¨	60.5	77.3	137.8
ΑυΜΓΌΞ	70	75.7	145.7
ΑυγόΌΞ	63	85.2	148.2
ΑυΌΞτή	70	81.2	151.2
ΑυΌΞ·ζ	63	78.0	141.0
ΑυΝΏΌΞ	62	78.1	140.1
Αυ΄σΌΞ	97	92.1	189.1
ΑυΦΑΌΞ	96	83.4	179.4
ΑυΌΞΟΌ	60.5	77.3	137.8
ΑυÒεΌΞ	90	78.1	168.1
ΑυΓ―ΌΞ	88	75.7	163.7
ΑυΌΞτλ	91	74.8	165.8
ΑυΠΕΌΞ	63	85.2	148.2
ΑυΌΞΈΆ	62	83.2	145.2
ΑυΌΞΈ£	63	74.8	137.8
ΑυΌΞΈ΅	60	76.6	136.6
ΑυάώΌΞ	63	74.8	137.8
ΑυΈΥΌΞ	61	92.9	153.9
ΑυΈΆΌΞ	62	84.8	146.8
ΑυΒΪΌΞ	98	74.8	172.8
ΑυΌΞΠ¦	61	86.8	147.8
ΑυΌΞΉϊ	88	76.6	164.6
ΑυΌΞήΘ	89	81.8	170.8
ΑυΟΝΌΞ	91	73.5	164.5
Αυ»ΞΌΞ	96	92.9	188.9
ΑυΗηΌΞ	97	84.8	181.8
Αυ±ΈΌΞ	62	84.8	146.8
ΑυÒπΌΞ	90	84.8	174.8
ΑυΤΪΌΞ	61	83.4	144.4
ΑυΟΈΌΞ	60	75.7	135.7
Αυη»ΌΞ	98	74.8	172.8
ΑυΌΞΈΜ	89	81.8	170.8
ΑυΝϊΌΞ	72.5	89.2	161.7
Αυ»ªΌΞ	63	74.8	137.8
ΑυΌΞΟι	60	76.6	136.6
ΑυΌΞΟθ	72	83.2	155.2
ΑυΌΞΈΦ	60	83.2	143.2
ΑυΚΐΌΞ	63	67.7	130.7
ΑυΌΞΟτ	88.5	88.8	177.3
ΑυΌΞΟς	60	81.2	141.2
ΑυΌΞ²΄	61	81.8	142.8
Αυη³ΌΞ	63	74.8	137.8
Αυπ©ΌΞ	90	84.8	174.8
ΑυΞ°ΌΞ	70	75.7	145.7
ΑυΌΞΈΩ	91	74.8	165.8
ΑυΌΞΈε	91	78.0	169.0
ΑυΣ±ΌΞ	89	86.0	175.0
ΑυΌΞΝ¥	96	86.8	182.8
ΑυΟΌΌΞ	61.5	82.3	143.8
ΑυΌΞΌν	96	81.8	177.8
ΑυΌΞτ£	88.5	88.8	177.3
ΑυΌΞΟΝ	91	78.0	169.0
ΑυΐϋΌΞ	96.5	77.5	174.0
ΑυΌΞΈθ	91	74.8	165.8
ΑυΌΞ·²	62	86.0	148.0
ΑυΌΞΟΧ	89	75.0	164.0
ΑυΌΞηχ	90	77.2	167.2
ΑυΌ¨ΌΞ	96.5	82.3	178.8
ΑυΘªΌΞ	63	85.2	148.2
Αυ²®ΌΞ	61.5	77.5	139.0
ΑυΌΞΟΠ	62	83.2	145.2
ΑυΜϊΌΞ	60	81.6	141.6
ΑυΌΞΟά	60	83.2	143.2
ΑυΌΞΐ¤	70.5	83.0	153.5
ΑυΌΞ¬B	90	83.2	173.2
ΑυΌΞΞ«	60.5	88.8	149.3
ΑυΌΞΐ¥	95.5	83.0	178.5
ΑυΌΞΝ¤	96	81.8	177.8
Αυ΄΄ΌΞ	62	84.8	146.8
ΑυΌΞΗΎ	89	86.7	175.7
ΑυΫίΌΞ	71.5	77.5	149.0
ΑυΎξΌΞ	90	78.1	168.1
ΑυΌΞΊ―	60.5	83.0	143.5
Αυά­ΌΞ	73	74.8	147.8
ΑυΌΞΣ«	98	74.8	172.8
ΑυΌΞηΝ	61	75.0	136.0
Αυ²ΣΌΞ	96.5	82.3	178.8
ΑυΌΞΩχ	62	77.2	139.2
ΑυΌΞΣª	88.5	77.3	165.8
ΑυΌΞηΗ	60	83.2	143.2
ΑυΕΰΌΞ	70	75.7	145.7
ΑυιΏΌΞ	91	74.8	165.8
ΑυΡΈΌΞ	96	92.9	188.9
ΑυΜ©ΌΞ	98	85.2	183.2
ΑυµΎΌΞ	91	73.5	164.5
ΑυΊΐΌΞ	63	74.8	137.8
Αυ²ΜΌΞ	89.5	82.3	171.8
ΑυΑ®ΌΞ	90	78.1	168.1
Αυς£ΌΞ	63	73.5	136.5
ΑυΌΞΣ­	70	76.6	146.6
ΑυκΖΌΞ	73	85.2	158.2
Αυ²ΧΌΞ	63	74.8	137.8
ΑυΌΞΎύ	88.5	80.4	168.9
ΑυΌΞηζ	89	86.8	175.8
ΑυΈθΌΞ	91	74.8	165.8
ΑυΈ΅ΌΞ	60	75.7	135.7
ΑυΥΉΌΞ	96	92.9	188.9
ΑυµΒΌΞ	98	73.5	171.5
ΑυΌΞΠϋ	61	81.8	142.8
ΑυΌΞΠω	71	86.8	157.8
Αυ³ΞΌΞ	61	86.0	147.0
ΑυÒβΌΞ	72	78.1	150.1
ΑυΌΞΠυ	62	83.2	145.2
ΑυΌΞΠς	60.5	80.4	140.9
ΑυΌΞΉη	70	81.2	151.2
ΑυΌΞΎω	70.5	80.4	150.9
ΑυΌΞ²¨	61	81.8	142.8
ΑυΌΞ³ν	62	77.2	139.2
ΑυΊ­ΌΞ	62	84.8	146.8
Αυ³ηΌΞ	60	75.7	135.7
ΑυΖΠΌΞ	91	74.8	165.8
ΑυΉπΌΞ	89	92.9	181.9
ΑυΌΞΜν	62	83.2	145.2
ΑυΌΞΠγ	60.5	80.4	140.9
ΑυΕζΌΞ	62.5	89.2	151.7
ΑυΌΞη»	98	74.8	172.8
Αυ΄οΌΞ	96	86.0	182.0
ΑυΞΔΌΞ	63	78.8	141.8
ΑυΠΣΌΞ	89.5	77.5	167.0
ΑυΣΝΌΞ	63	85.2	148.2
ΑυΉϊΌΞ	88	75.7	163.7
ΑυΌΞη³	63	74.8	137.8
ΑυΌΞη²	91	74.8	165.8
ΑυÒζΌΞ	71	92.9	163.9
ΑυΡεΌΞ	91	85.2	176.2
ΑυΣώΌΞ	70	81.6	151.6
ΑυΖΞΌΞ	90	78.1	168.1
Αυ±΅ΌΞ	63	84.8	147.8
Αυι»ΌΞ	91	74.8	165.8
ΑυΌΞΖΠ	91	74.8	165.8
ΑυΌΞΠΫ	62	83.2	145.2
ΑυΌΞΠΗ	61	81.8	142.8
ΑυΌΞΠΔ	63	85.5	148.5
ΑυΌΞΠΕ	61	81.8	142.8
ΑυΌΞη£	61	86.8	147.8
ΑυΜΟΌΞ	63	74.8	137.8
ΑυΌΞη΅	89	86.8	175.8
Αυ²ίΌΞ	90	84.8	174.8
ΑυΌΞΛ«	60.5	88.8	149.3
ΑυέΰΌΞ	91	73.5	164.5
ΑυΣκΌΞ	62.5	89.2	151.7
ΑυΦÒΌΞ	97.5	89.2	186.7
ΑυΟάΌΞ	61	86.0	147.0
ΑυΔΒΌΞ	61	86.0	147.0
ΑυΌΞΓ―	88	76.6	164.6
ΑυΌΞΛ§	61	81.8	142.8
ΑυΌΞ»ω	70	76.6	146.6
ΑυΌΞ½­	60.5	80.4	140.9
ΑυΌΞ½―	88.5	77.3	165.8
ΑυΌΞΙς	60.5	83.0	143.5
ΑυΌΞΛΏ	62	83.2	145.2
ΑυΌΞ½¨	89	81.8	170.8
ΑυΌΞΛΌ	61	81.8	142.8
ΑυΌΞΛ³	62	83.2	145.2
ΑυΖ½ΌΞ	63	67.7	130.7
Αυη΅ΌΞ	89	92.9	181.9
ΑυΌΞΛ·	96	86.8	182.8
ΑυΌΞΎξ	90	77.2	167.2
ΑυΌΞ½£	63	78.0	141.0
ΑυΘρΌΞ	63	73.5	136.5
ΑυΌΞ΄«	97	77.2	174.2
ΑυΌΞ΄¨	62	86.0	148.0
ΑυΌΞΒ¥	91	78.0	169.0
ΑυΌΞΝϊ	70.5	83.0	153.5
ΑυΌΞΚχ	88	83.2	171.2
ΑυΔ±ΌΞ	61	86.0	147.0
ΑυΌΞηη	95	79.4	174.4
ΑυΕτΌΞ	63	84.8	147.8
ΑυΌΞ΄Ί	61	81.8	142.8
Αυ·«ΌΞ	61	83.4	144.4
ΑυΌΞ΄Ή	60.5	83.0	143.5
ΑυΌΞ΄Ύ	62	83.2	145.2
